,player_id,position,Player Age,Player Height (cm),Matches Played,Average Minutes per Match,Average Goals per Match,Average Assists per Match,Average Shots per Match,Average Pass Success Rate (%),Average Aerial Duels Won per Match,Average Yellow Cards per Match,Average Red Cards per Match,Average Man of the Match per Match
3446,4883,Defender,25,187,103,77.0,0.02,0.03,0.3,85.6,1.6,0.15,0.0,0.0
3325,4715,Midfielder,29,176,106,40.06,0.05,0.09,0.9,76.2,0.4,0.11,0.0,0.0
812,1168,Midfielder,23,168,107,46.74,0.09,0.1,0.9,85.4,0.1,0.07,0.0,0.03
1159,1709,Forward,33,185,144,54.72,0.22,0.02,1.6,71.2,1.0,0.17,0.0,0.06
2497,3600,Forward,29,183,85,53.06,0.2,0.07,1.6,69.0,0.4,0.05,0.0,0.02
1407,2080,Midfielder,38,170,462,75.29,0.04,0.12,0.7,85.8,0.6,0.12,0.0,0.05
2362,3407,Defender,25,184,110,83.53,0.06,0.02,0.7,76.5,4.0,0.14,0.0,0.09
1122,1660,Midfielder,30,185,190,78.12,0.04,0.02,0.7,85.5,1.2,0.26,0.01,0.05
551,810,Midfielder,28,170,112,77.41,0.1,0.08,1.6,78.5,0.7,0.17,0.01,0.07
2932,4204,Goalkeeper,23,195,104,86.85,0.0,0.0,0.0,74.8,0.2,0.12,0.01,0.01
2705,3888,Midfielder,28,185,140,62.94,0.01,0.04,0.5,79.1,1.4,0.16,0.01,0.01
3631,5142,Defender,32,186,159,81.97,0.06,0.02,0.6,74.4,3.1,0.11,0.0,0.04
170,241,Goalkeeper,37,192,64,88.55,0.0,0.0,0.0,63.1,0.3,0.11,0.03,0.09
71,100,Midfielder,21,174,166,69.3,0.13,0.09,0.7,87.8,0.1,0.05,0.0,0.04
3425,4852,Defender,28,191,199,80.04,0.03,0.02,0.4,84.5,2.2,0.27,0.01,0.03
3735,5272,Defender,30,185,170,72.11,0.01,0.02,0.3,83.3,2.2,0.21,0.01,0.02
269,388,Midfielder,26,185,139,82.57,0.08,0.05,0.7,82.3,1.4,0.23,0.01,0.06
1737,2534,Defender,23,192,199,87.89,0.03,0.01,0.3,91.6,1.6,0.11,0.01,0.02
1652,2406,Midfielder,25,180,114,46.05,0.06,0.07,1.1,85.0,0.2,0.09,0.01,0.03
3403,4822,Goalkeeper,27,184,139,89.31,0.0,0.0,0.0,53.4,0.3,0.08,0.0,0.01
3533,4996,Midfielder,34,172,351,84.37,0.29,0.26,2.8,73.9,0.1,0.05,0.01,0.12
3373,4775,Midfielder,30,191,196,79.38,0.03,0.03,0.7,88.0,1.7,0.28,0.02,0.03
2717,3911,Midfielder,32,179,317,60.77,0.12,0.07,1.5,72.9,1.0,0.15,0.0,0.03
329,473,Midfielder,26,183,109,50.58,0.08,0.03,1.2,77.5,0.7,0.18,0.02,0.04
1288,1899,Midfielder,25,181,296,71.3,0.19,0.16,1.9,83.0,0.3,0.12,0.0,0.08
545,802,Defender,25,185,95,86.91,0.03,0.01,0.5,78.4,2.2,0.18,0.01,0.02
1924,2813,Forward,21,170,72,55.38,0.32,0.07,1.7,58.7,0.5,0.15,0.0,0.06
2786,3998,Midfielder,27,182,195,68.11,0.1,0.08,1.0,74.7,0.8,0.13,0.01,0.03
3618,5121,Midfielder,36,182,88,59.28,0.03,0.18,1.1,62.7,0.7,0.16,0.0,0.01
1697,2465,Defender,22,195,102,81.01,0.06,0.01,0.4,80.4,2.6,0.12,0.01,0.0
2370,3423,Goalkeeper,24,197,183,89.78,0.0,0.0,0.0,72.4,0.4,0.05,0.01,0.03
